Value,Name,Meaning
0x1,SHF_WRITE,Writable
0x2,SHF_ALLOC,Occupies memory during execution
0x4,SHF_EXECINSTR,Executable
0x10,SHF_MERGE,Might be merged
0x20,SHF_STRINGS,Contains null-terminated strings
0x40,SHF_INFO_LINK,'sh_info' contains SHT index
0x80,SHF_LINK_ORDER,Preserve order after combining
0x100,SHF_OS_NONCONFORMING,Non-standard OS specific handling required
0x200,SHF_GROUP,Section is member of a group
0x400,SHF_TLS,Section hold thread-local data
0x0FF00000,SHF_MASKOS,OS-specific
0xF0000000,SHF_MASKPROC,Processor-specific
0x4000000,SHF_ORDERED,Special ordering requirement (Solaris)
0x8000000,SHF_EXCLUDE,Section is excluded unless referenced or allocated (Solaris)
